,dates,total,pack,carton,grcy,grcy_nt,misc_total,vape,tobacco,beer,cigar,lotto,p_o,scratch,scp_o,main,card
151,2020-11-29,2181.07,328.28,0.0,51.44,30.79,557.4200000000001,385.91,177.11,369.73,59.32,96.0,-50.0,0.0,-16.0,-1898.11,1422.55
152,2020-11-30,3482.34,590.3,110.2,79.27,51.61,457.73,759.04,198.76,600.9,212.6,128.0,-4.0,0.0,0.0,-2720.49,1968.09
153,2020-12-01,2873.54,524.94,0.0,67.3,44.29,568.5,511.23,100.52,507.55,223.34,82.0,-4.0,0.0,0.0,-1976.61,1475.91
154,2020-12-02,3601.13,638.49,0.0,79.32,67.77,633.2299999999999,696.39,213.86,576.84,284.99,105.0,-4.0,0.0,0.0,-2957.77,2220.61
155,2020-12-03,3924.2,693.29,0.0,92.54,54.76,617.86,929.65,155.03,619.17,367.8,60.0,0.0,0.0,-10.0,-3209.41,2192.12
156,2020-12-04,4092.64,707.48,0.0,101.14,33.11,785.3299999999999,817.85,196.59,751.11,325.4,35.0,0.0,0.0,-23.0,-3301.46,2548.95
157,2020-12-05,3568.04,506.04,0.0,102.92,103.02,697.19,764.16,127.26,601.01,156.62,167.0,-3.0,0.0,-8.0,-2684.51,2112.42
158,2020-12-06,2569.7,450.18,0.0,92.89,37.38,365.86999999999995,459.2,221.68,383.4,310.03,24.0,0.0,0.0,0.0,-2162.84,1485.64
159,2020-12-07,2846.29,608.28,110.2,66.41,62.95,315.99,718.8,91.18,445.65,107.9,88.0,-13.0,0.0,0.0,-2330.58,1733.04
160,2020-12-08,2850.0,462.74,0.0,70.14,75.54,432.81,772.94,176.96,496.54,80.29,0.0,0.0,0.0,0.0,-1883.51,1432.65
161,2020-12-09,3386.39,695.41,0.0,75.38,61.24,638.0,558.03,214.69,531.01,230.27,91.0,0.0,0.0,0.0,-2770.34,1583.66
162,2020-12-10,3747.93,675.85,88.1,105.91,50.26,517.99,1092.37,143.76,461.89,210.46,91.0,-11.0,0.0,-5.0,-3395.33,2590.15
163,2020-12-11,3858.8,612.14,159.8,75.66,55.74,428.75,727.29,258.9,853.08,270.17,99.0,-17.0,0.0,0.0,-2833.94,1981.79
164,2020-12-12,4295.78,527.35,0.0,97.48,61.17,875.7,905.61,251.54,635.47,461.76,124.0,-9.0,0.0,-7.0,-3418.49,2676.47
165,2020-12-13,2512.51,461.79,0.0,18.55,30.32,803.6100000000001,309.28,106.52,429.94,68.01,65.0,0.0,0.0,-5.0,-2006.0,1406.33
166,2020-12-14,3063.85,511.91,110.2,62.7,44.54,435.88,676.14,158.44,562.8,208.35,61.0,-39.0,0.0,0.0,-2991.25,2295.31
167,2020-12-15,3367.44,439.85,178.2,20.45,50.92,396.61,814.56,235.81,555.99,274.4,114.0,0.0,4.0,-6.0,-3035.63,2327.77
168,2020-12-16,3583.32,628.65,0.0,96.83,108.96,571.33,548.91,213.72,741.11,246.16,0.0,0.0,0.0,0.0,-3116.5,2161.63
169,2020-12-17,3885.49,808.14,0.0,76.96,46.21,600.9200000000001,937.66,142.07,603.18,257.24,67.0,0.0,7.0,0.0,-3319.11,2525.55
170,2020-12-18,4170.34,510.03,0.0,95.67,35.86,536.71,1127.56,242.2,856.75,303.11,71.0,0.0,30.0,-2.0,-3496.13,2632.18
171,2020-12-19,4033.87,557.03,0.0,83.88,72.64,927.16,673.67,133.29,648.96,431.74,120.0,0.0,0.0,0.0,-3481.26,2579.62
172,2020-12-20,3058.4,354.05,0.0,73.94,35.08,717.64,662.91,157.94,590.21,161.22,37.0,0.0,5.0,-5.0,-2627.56,2009.66
173,2020-12-21,3662.83,649.49,181.9,61.99,50.19,427.52000000000004,1146.8,153.5,371.44,208.5,90.0,0.0,5.0,0.0,-3128.22,2469.99
174,2020-12-22,5001.73,587.41,255.1,92.59,65.78,941.9300000000001,925.95,187.77,727.74,670.19,109.0,2.0,-4.0,-14.0,-4359.2,3344.31
175,2020-12-23,4571.4,623.19,0.0,108.19,40.89,693.9000000000001,856.18,180.82,633.17,663.83,215.0,0.0,184.0,0.0,-3815.19,2949.93
176,2020-12-24,6415.17,697.15,0.0,115.32,42.65,1689.24,1279.26,210.74,754.18,468.39,143.0,-31.0,550.0,-20.0,-4855.91,3522.57
