매출 보고,(Revenue Report),이번 달로 가기,총매출,팩,카튼,그로서리,잡화,토바코,맥주,메인포스,카드,잡화 비율,카드/총매출,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 토바코,평균 맥주,누락,주별 총 누락,,매출,담배 갑 ,담배보루,그로서리,잡화,토바코,맥주
토바코 수익,"$6,797.51",6/10/2017 Sat,"$2,293.81",$653.55,$592.60,$41.32,$569.41,$162.83,$65.99,"-$1,688.55","$1,292.48",27.31%,56.35%,,,,,,,,,,$605.26,,,,,,,,,
맥주 수익,"$3,971.88",6/11/2017 Sun,"$1,717.85",$419.43,$382.50,$11.99,$397.49,$215.87,$134.47,"-$1,256.51",$816.68,25.45%,47.54%,,,,,,,,,,$461.34,,,,,,,,,
,,6/12/2017 Mon,"$2,022.48",$627.93,$78.90,$41.99,$763.80,$220.29,$105.88,"-$1,166.93",$768.58,41.54%,38.00%,,Week 13,"$2,045.07",$619.00,$169.20,$45.82,$672.09,$235.58,$118.44,$855.55,"$4,285.01",,,,,,,,
,,6/13/2017 Tues,"$1,673.44",$486.72,$305.60,$35.86,$433.58,$161.83,$98.59,"-$1,198.09",$730.88,28.50%,43.68%,,,,,,,,,,$475.35,,,,,,,,,
,,6/14/2017 Wed,"$2,039.29",$740.90,$129.80,$26.51,$433.56,$379.45,$144.33,"-$1,506.75",$848.95,23.39%,41.63%,,,,,,,,,,$532.54,,,,,,,,,
,,6/15/2017 Thur,"$1,829.58",$669.67,$229.20,$23.24,$501.35,$137.67,$103.04,"-$1,280.92",$959.00,30.14%,52.42%,,,,,,,,,,$548.66,,,,,,,,,
,,6/16/2017 Fri,"$2,704.44",$655.28,$282.60,$56.40,"$1,061.41",$229.62,$174.89,"-$2,075.85","$1,643.32",43.17%,60.76%,,,,,,,,,,$628.59,,,,,,,,,
,,6/17/2017 Sat,"$2,783.17",$824.78,$0.00,$95.44,"$1,162.75",$299.85,$149.48,"-$1,897.89","$1,577.23",45.96%,56.67%,,,,,,,,,,$885.28,,,,,,,,,
,,6/18/2017 Sun,"$1,263.10",$327.73,$158.29,$41.29,$348.18,$220.33,$52.85,-$904.06,$578.85,30.32%,45.83%,,,,,,,,,,$359.04,,,,,,,,,
,,6/19/2017 Mon,"$1,894.59",$610.04,$211.20,$16.71,$627.14,$120.99,$137.53,"-$1,221.44",$832.96,36.41%,43.97%,,Week 14,"$2,312.80",$746.39,$242.89,$30.74,$724.08,$207.35,$151.64,$673.15,"$5,733.79",,,,,,,,
