,dates,total,pack,carton,grcy,misc_total,tobacco,beer,main,card
139,2017-08-14,2432.05,714.22,239.4,21.01,873.97,229.75,127.72,-1702.33,1247.99
140,2017-08-15,2714.53,720.11,157.8,22.0,1142.45,327.02,226.36,-1848.76,1424.5
141,2017-08-16,2311.07,787.79,152.3,26.97,754.88,230.33,148.56,-1510.69,970.78
142,2017-08-17,2575.64,642.35,150.3,28.54,910.2,437.15,167.99,-1696.41,1240.86
143,2017-08-18,2690.88,798.92,360.92,31.8,857.05,218.37,179.94,-1744.53,1315.03
144,2017-08-19,3002.73,734.83,294.1,43.54,1298.53,222.06,134.73,-1703.53,1235.65
145,2017-08-20,2154.1,734.3,78.9,33.03,897.05,144.86,70.08,-1097.43,616.88
146,2017-08-21,1874.92,471.17,119.8,33.45,712.44,295.11,72.43,-1207.69,925.38
147,2017-08-22,2278.24,800.16,78.9,27.8,679.84,340.76,143.52,-1582.05,1146.54
148,2017-08-23,2241.88,701.77,296.1,51.82,547.94,272.48,169.68,-1465.33,895.88
149,2017-08-24,2433.64,782.88,174.8,23.68,713.87,375.11,142.08,-1878.76,1324.42
150,2017-08-25,2282.59,724.86,78.9,36.05,818.57,260.91,156.46,-1384.86,909.07
151,2017-08-26,2422.0,617.7,305.1,49.17,770.6,262.38,197.04,-1551.63,1184.69
152,2017-08-27,1802.26,556.12,149.3,34.23,628.38,236.08,69.36,-1238.82,972.73
153,2017-08-28,2480.26,784.87,288.6,37.98,780.17,215.4,363.46,-1671.99,1271.18
154,2017-08-29,2097.17,690.82,0.0,37.26,826.55,243.62,110.75,-1265.91,757.08
155,2017-08-30,1987.47,609.81,214.7,31.9,686.41,164.07,100.11,-1213.87,995.45
156,2017-08-31,2498.05,818.54,226.7,19.95,770.32,302.1,133.37,-1684.82,1056.76
157,2017-09-01,3262.44,792.07,78.9,23.18,1694.96,275.69,101.53,-1890.07,1310.44
158,2017-09-02,2502.36,707.63,237.2,24.45,881.49,217.11,207.03,-1320.62,875.23
159,2017-09-03,1881.15,642.81,145.3,30.37,632.47,141.28,118.36,-1118.84,865.49
160,2017-09-04,2352.04,545.44,388.0,21.23,718.66,362.54,102.74,-1572.59,1163.74
161,2017-09-05,2760.39,609.37,478.4,39.41,864.8,401.4,116.87,-1764.47,1323.39
162,2017-09-06,1763.42,462.87,0.0,41.64,718.52,235.49,145.03,-971.97,665.03
163,2017-09-07,2595.16,597.92,222.7,42.39,1018.5,343.99,134.68,-1596.64,1229.86
164,2017-09-08,3081.99,766.07,361.5,37.2,1063.36,348.0,226.59,-2168.02,1632.45
165,2017-09-09,2747.21,831.99,148.8,42.32,1015.77,295.43,164.15,-1514.49,1070.02
166,2017-09-10,1258.18,488.19,0.0,23.45,390.13,132.99,109.24,-832.75,597.61
167,2017-09-11,2637.83,690.81,273.1,18.48,1023.27,217.21,175.38,-1597.57,1171.52
168,2017-09-12,2318.59,799.51,73.4,42.02,873.79,279.81,119.52,-1274.65,917.88
169,2017-09-13,2212.25,697.5,71.4,34.73,880.85,223.43,103.3,-1496.3,1145.33
170,2017-09-14,2379.73,694.06,157.8,31.47,794.38,325.15,160.83,-1536.36,1159.01
171,2017-09-15,2947.92,621.23,129.8,39.22,1385.11,332.24,172.41,-1733.97,1240.24
172,2017-09-16,2645.09,664.85,152.3,45.26,1229.09,168.84,144.08,-1751.18,1314.79
173,2017-09-17,1730.76,490.04,308.1,23.08,495.73,192.56,63.87,-1147.03,814.2
174,2017-09-18,2511.25,754.3,78.9,16.79,1114.47,210.03,108.64,-1402.82,1043.73
175,2017-09-19,2615.79,439.7,448.4,23.23,865.94,451.57,149.44,-1865.26,1463.36
176,2017-09-20,2435.3,632.8,250.7,27.11,793.94,349.31,160.07,-1463.56,1033.96
177,2017-09-21,2840.86,925.89,129.8,49.57,1132.96,196.13,144.85,-1862.65,1377.43
178,2017-09-22,2325.23,813.35,142.8,38.78,793.33,249.79,155.89,-1478.33,1171.46
179,2017-09-23,3270.04,743.66,78.9,24.02,1752.52,254.58,118.91,-2531.43,1910.96
180,2017-09-24,2128.02,740.1,0.0,26.62,678.25,360.53,129.59,-1327.96,942.35
181,2017-09-25,2138.01,737.96,81.9,33.95,642.09,299.56,148.16,-1405.45,946.29
182,2017-09-26,2640.44,698.17,374.0,28.22,897.38,234.92,194.06,-1693.96,1251.0
183,2017-09-27,1752.71,676.88,159.8,27.2,404.92,165.74,168.83,-1204.39,800.57
184,2017-09-28,2915.32,804.02,70.9,39.02,1267.15,284.5,185.45,-1925.76,1402.88
185,2017-09-29,2007.58,561.85,78.9,25.86,793.38,261.21,104.61,-1136.79,872.04
186,2017-09-30,2193.36,661.14,81.9,41.24,793.98,272.76,109.72,-1507.29,1005.97
187,2017-10-01,1888.21,598.26,74.4,21.26,619.55,216.38,187.16,-1188.54,709.22
188,2017-10-02,2397.65,710.14,0.0,32.24,941.42,359.03,136.84,-1367.6,945.62
189,2017-10-03,2539.3,903.39,310.6,20.67,682.21,270.19,121.73,-1780.63,1293.61
190,2017-10-04,2342.09,850.39,159.8,28.4,723.68,217.12,150.54,-1532.81,926.8
191,2017-10-05,2185.99,709.01,74.4,46.47,761.89,275.82,119.81,-1456.44,936.45
192,2017-10-06,2518.75,716.24,331.7,28.38,636.27,401.01,176.4,-1769.79,1256.75
193,2017-10-07,2374.25,519.3,235.7,24.23,981.36,245.41,152.68,-1901.92,1486.13
194,2017-10-08,2450.78,615.49,388.5,26.2,789.5,278.63,157.88,-1763.0,1289.43
195,2017-10-09,2169.06,664.91,164.8,28.11,762.25,238.64,141.68,-1399.27,1087.17
196,2017-10-10,3172.27,868.18,70.9,36.61,1321.85,416.16,206.83,-2236.42,1738.26
197,2017-10-11,2494.15,566.39,381.5,31.89,920.68,165.67,201.51,-1546.07,1097.73
198,2017-10-12,2026.88,541.23,0.0,24.34,779.69,321.43,176.37,-1177.53,996.36
199,2017-10-13,2842.66,924.98,219.7,31.86,1006.84,257.72,143.5,-1835.37,1358.93
200,2017-10-14,3251.42,803.89,465.9,27.79,1351.03,212.42,122.74,-2259.8,1668.41
201,2017-10-15,1743.26,593.24,0.0,15.46,665.96,198.6,111.23,-1055.8,828.15
202,2017-10-16,2520.16,861.28,79.9,31.83,973.74,185.28,191.71,-1518.88,1001.48
203,2017-10-17,2182.91,696.6,0.0,25.01,827.17,272.42,163.65,-1372.62,1031.75
204,2017-10-18,2462.6,687.51,159.8,8.5,1023.11,252.86,114.16,-1434.9,863.43
205,2017-10-19,2578.64,806.54,152.39,23.02,980.34,247.8,157.79,-1587.96,1334.32
206,2017-10-20,2862.63,805.4,211.2,23.0,1047.37,311.83,204.14,-2015.13,1442.85
207,2017-10-21,2765.18,633.06,221.7,23.29,1246.06,256.33,156.61,-1737.42,1331.0
208,2017-10-22,2038.39,651.24,233.7,25.86,531.91,274.34,135.56,-1407.16,899.03
209,2017-10-23,2568.31,657.96,221.7,19.78,1020.39,276.16,138.94,-1686.62,1293.25
210,2017-10-24,2767.97,684.21,290.6,31.03,1174.09,218.91,118.01,-1945.55,1448.54
211,2017-10-25,2218.3,602.49,154.3,21.11,826.84,298.52,107.18,-1575.54,1177.46
212,2017-10-26,1847.0,730.73,93.9,44.84,459.1,157.93,193.93,-1308.98,746.32
213,2017-10-27,2604.19,889.48,232.69,35.58,683.65,342.81,155.48,-1477.58,1008.03
214,2017-10-28,2648.73,891.2,79.9,23.33,957.41,344.45,134.79,-1558.38,1179.52
215,2017-10-29,1958.08,624.19,309.6,7.73,471.1,258.56,105.85,-1360.22,1032.64
216,2017-10-30,2282.3,637.07,151.3,23.2,909.02,209.35,144.93,-1408.0,844.82
217,2017-10-31,1921.96,723.88,152.3,21.87,415.16,287.26,147.09,-1406.78,866.23
218,2017-11-01,2287.9,743.55,156.8,24.05,816.51,198.37,140.79,-1441.59,973.89
219,2017-11-02,2750.31,943.53,210.7,24.12,866.27,295.8,159.98,-1743.79,1235.9
220,2017-11-03,3318.98,732.16,70.9,21.43,1560.14,459.26,173.28,-2085.32,1437.03
221,2017-11-04,2616.74,682.7,0.0,39.83,1162.39,377.25,116.54,-1803.01,1396.68
222,2017-11-05,2301.59,439.72,552.3,16.39,737.64,247.59,98.79,-1806.09,1456.06
223,2017-11-06,1926.37,692.53,0.0,14.12,585.27,320.75,138.5,-1377.36,849.95
224,2017-11-07,2396.19,635.11,153.8,19.0,972.21,273.64,124.77,-1499.5,1131.43
225,2017-11-08,2492.22,628.42,72.4,40.74,756.96,275.73,167.85,-1692.78,1004.25
226,2017-11-09,2237.02,526.98,159.8,17.6,1054.32,168.27,106.86,-1240.6,1046.23
227,2017-11-10,2546.31,836.36,150.8,23.74,823.14,334.47,146.48,-1762.77,1356.32
228,2017-11-11,2844.02,710.49,154.3,31.23,1293.34,271.63,124.42,-1944.14,1502.56
229,2017-11-12,2116.19,488.16,455.4,18.41,573.51,264.41,124.53,-1539.77,1032.24
230,2017-11-13,1953.52,631.14,82.9,17.73,736.05,228.38,78.65,-1323.77,1011.65
231,2017-11-14,2610.06,716.55,319.6,34.7,817.19,305.41,179.86,-1819.15,1548.32
232,2017-11-15,2054.81,496.2,225.2,18.28,718.04,272.79,137.89,-1491.29,1147.98
233,2017-11-16,2340.05,681.05,379.7,19.39,643.18,297.37,107.01,-1678.39,1320.2
234,2017-11-17,2397.0,628.54,0.0,23.04,931.48,351.62,185.5,-1504.29,1149.03
235,2017-11-18,3320.53,860.11,270.78,31.58,1330.78,346.51,174.81,-2272.58,1622.29
236,2017-11-19,1971.17,588.51,169.8,16.07,624.74,238.88,149.68,-1399.95,1028.49
237,2017-11-20,2109.5,565.29,159.8,29.01,564.1,391.19,208.64,-1383.3,897.61
