,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
,,1/24/2021 Sun,"$3,272.08",$449.97,$383.00,$23.64,"$1,894.13",,,$144.36,$64.79,$11.99,"-$2,934.68","$2,330.03",63.68%,71.21%,79.40%,,,,,,,,,,,,,,1/24/2021 Sun,"$3,272.08",$832.97,$23.64,"$1,894.13",$144.36,$64.79,,
,,1/25/2021 Mon,"$4,403.19",$887.55,$259.70,$16.53,"$2,483.70",,,$281.71,$43.60,$26.95,"-$3,743.15","$3,029.69",62.05%,68.81%,80.94%,,Week 149,"$4,658.80",$733.09,$298.36,$34.68,"$2,851.77",,,$193.74,$81.41,,,1/25/2021 Mon,"$4,403.19","$1,147.25",$16.53,"$2,483.70",$281.71,$43.60,,
,,1/26/2021 Tue,"$5,354.44",$740.74,$344.20,$29.80,"$3,366.20",,,$252.43,$122.82,$6.98,"-$4,803.91","$3,914.37",69.15%,73.11%,81.48%,,,,,,,,,,,,,,1/26/2021 Tue,"$5,354.44","$1,084.94",$29.80,"$3,366.20",$252.43,$122.82,,
,,1/27/2021 Wed,"$3,900.61",$450.55,$365.10,$38.35,"$2,411.49",,,$199.62,$77.59,$0.00,"-$3,239.97","$2,823.47",68.01%,72.39%,87.14%,,,,,,,,,,,,,,1/27/2021 Wed,"$3,900.61",$815.65,$38.35,"$2,411.49",$199.62,$77.59,,
,,1/28/2021 Thu,"$5,929.55","$1,077.33",$347.40,$34.52,"$3,659.57",,,$144.87,$102.88,$18.98,"-$5,929.55","$4,551.52",67.89%,76.76%,76.76%,,,,,,,,,,,,,,1/28/2021 Thu,"$5,929.55","$1,424.73",$34.52,"$3,659.57",$144.87,$102.88,,
,,1/29/2021 Fri,"$4,857.84",$822.52,$145.80,$16.76,"$3,087.90",,,$161.87,$63.35,$113.93,"-$4,417.40","$3,623.23",69.92%,74.59%,82.02%,,,,,,,,,,,,,,1/29/2021 Fri,"$4,857.84",$968.32,$16.76,"$3,087.90",$161.87,$63.35,,
,,1/30/2021 Sat,"$5,124.71",$685.20,$434.00,$50.52,"$3,037.31",,,$240.36,$112.18,$100.01,"-$4,682.10","$3,771.09",65.19%,73.59%,80.54%,,,,,,,,,,,,,,1/30/2021 Sat,"$5,124.71","$1,119.20",$50.52,"$3,037.31",$240.36,$112.18,,
,,1/31/2021 Sun,"$3,041.28",$467.74,$192.30,$56.28,"$1,916.21",,,$75.32,$47.44,$6.98,"-$2,569.97","$2,067.16",69.31%,67.97%,80.44%,,,,,,,,,,,,,,1/31/2021 Sun,"$3,041.28",$660.04,$56.28,"$1,916.21",$75.32,$47.44,,
2021년 2월,매출 보고,2/1/2021 Mon,"$6,071.27",$907.02,$819.40,$66.58,"$3,315.04",,,$261.78,$96.51,$47.94,"-$5,300.55","$4,342.30",60.06%,71.52%,,,February,"$5,059.28",$734.76,$508.34,$41.04,"$2,973.33",,,$221.63,$97.30,,,2/1/2021 Mon,"$6,071.27","$1,726.42",$66.58,"$3,315.04",$261.78,$96.51,,
,,2/2/2021 Tue,"$4,164.34",$616.46,$269.60,$33.22,"$2,536.51",,,$264.03,$62.49,$0.00,"-$3,503.75","$2,513.14",67.00%,60.35%,,,,,,,,,,,,,,,2/2/2021 Tue,"$4,164.34",$886.06,$33.22,"$2,536.51",$264.03,$62.49,,
실제 수익,"$135,244.81",2/3/2021 Wed,"$4,422.90",$653.49,$254.20,$33.85,"$2,664.63",,,$207.78,$109.28,$93.89,"-$3,872.35","$2,865.23",66.27%,64.78%,,,,,,,,,,,,,,,2/3/2021 Wed,"$4,422.90",$907.69,$33.85,"$2,664.63",$207.78,$109.28,,
보고 수익,"$116,329.62",2/4/2021 Thu,"$5,335.03",$770.68,$673.10,$28.21,"$2,962.46",,,$301.02,$110.07,$0.00,"-$4,586.32","$3,432.66",61.08%,64.34%,,,,,,,,,,,,,,,2/4/2021 Thu,"$5,335.03","$1,443.78",$28.21,"$2,962.46",$301.02,$110.07,,
카드 수익,"$91,067.46",2/5/2021 Fri,"$6,539.37",$792.17,$647.60,$24.69,"$4,117.40",,,$186.45,$168.15,$2.99,"-$5,650.53","$4,432.05",69.26%,67.77%,,,,,,,,,,,,,,,2/5/2021 Fri,"$6,539.37","$1,439.77",$24.69,"$4,117.40",$186.45,$168.15,,
,"$25,262.16",2/6/2021 Sat,"$5,574.14",$813.24,$515.90,$52.12,"$3,404.58",,,$234.96,$37.60,$23.47,"-$4,543.11","$3,888.09",67.19%,69.75%,,,,,,,,,,,,,,,2/6/2021 Sat,"$5,574.14","$1,329.14",$52.12,"$3,404.58",$234.96,$37.60,,
담배 수익,"$31,151.02",2/7/2021 Sun,"$3,307.92",$590.23,$378.60,$48.60,"$1,812.71",,,$95.39,$96.98,$0.00,"-$2,822.16","$2,185.02",60.28%,66.05%,,,,,,,,,,,,,,,2/7/2021 Sun,"$3,307.92",$968.83,$48.60,"$1,812.71",$95.39,$96.98,,
그로서리 수익,"$1,013.55",2/8/2021 Mon,"$4,377.09",$470.48,$678.20,$27.76,"$2,568.61",,,$149.41,$81.07,$0.00,"-$3,573.77","$2,568.31",64.55%,58.68%,,,Week 151,"$4,488.09",$613.53,$461.86,$29.10,"$2,717.23",,,$158.98,$70.26,,,2/8/2021 Mon,"$4,377.09","$1,148.68",$27.76,"$2,568.61",$149.41,$81.07,,
잡화 수익,"$82,167.60",2/9/2021 Tue,"$4,729.97",$788.60,$687.80,$34.25,"$2,493.09",,,$230.94,$50.35,$10.97,"-$4,289.53","$3,385.78",57.98%,71.58%,,,,,,,,,,,,,,,2/9/2021 Tue,"$4,729.97","$1,476.40",$34.25,"$2,493.09",$230.94,$50.35,,
토바코 수익,"$5,168.36",2/10/2021 Wed,"$4,903.52",$697.15,$421.60,$46.84,"$3,015.28",,,$174.63,$44.17,$0.00,"-$4,233.87","$3,284.49",67.64%,66.98%,,,,,,,,,,,,,,,2/10/2021 Wed,"$4,903.52","$1,118.75",$46.84,"$3,015.28",$174.63,$44.17,,
맥주 수익,"$2,536.73",2/11/2021 Thu,"$5,632.42",$858.41,$314.00,$25.72,"$3,616.96",,,$154.65,$82.08,$63.92,"-$5,081.90","$4,075.11",70.64%,72.35%,,,,,,,,,,,,,,,2/11/2021 Thu,"$5,632.42","$1,172.41",$25.72,"$3,616.96",$154.65,$82.08,,
,,2/12/2021 Fri,"$6,846.05",$700.21,$960.60,$38.88,"$4,081.21",,,$299.02,$125.07,$12.99,"-$5,965.23","$4,911.19",65.58%,71.74%,,,,,,,,,,,,,,,2/12/2021 Fri,"$6,846.05","$1,660.81",$38.88,"$4,081.21",$299.02,$125.07,,
,"$4,830.17",2/13/2021 Sat,"$1,975.47",$322.07,$0.00,$7.00,"$1,296.43",,,$70.65,$98.10,$0.00,"-$1,975.47","$1,507.46",72.19%,76.31%,,,,,,,,,,,,,,,2/13/2021 Sat,"$1,975.47",$322.07,$7.00,"$1,296.43",$70.65,$98.10,,
,,2/14/2021 Sun,"$2,952.14",$457.76,$170.80,$23.27,"$1,949.02",,,$33.56,$10.99,$35.92,"-$2,731.94","$2,058.03",72.62%,69.71%,,,,,,,,,,,,,,,2/14/2021 Sun,"$2,952.14",$628.56,$23.27,"$1,949.02",$33.56,$10.99,,
,,2/15/2021 Mon,"$5,554.68",$721.44,$781.40,$42.97,"$3,210.68",,,$205.52,$76.09,$6.99,"-$4,782.00","$3,939.73",63.58%,70.93%,,,Week 152,"$5,116.64",$630.19,$406.58,$35.47,"$3,225.15",,,$186.90,$114.53,,,2/15/2021 Mon,"$5,554.68","$1,502.84",$42.97,"$3,210.68",$205.52,$76.09,,
,,2/16/2021 Tue,"$4,856.73",$663.40,$222.29,$41.65,"$3,290.46",,,$120.36,$60.03,$12.99,"-$4,196.10","$3,197.75",74.53%,65.84%,,,,,,,,,,,,,,,2/16/2021 Tue,"$4,856.73",$885.69,$41.65,"$3,290.46",$120.36,$60.03,,
,,2/17/2021 Wed,"$4,955.31",$473.42,$320.10,$22.11,"$3,076.92",,,$209.52,$128.64,$0.00,"-$4,404.80","$3,365.17",68.30%,67.91%,,,,,,,,,,,,,,,2/17/2021 Wed,"$4,955.31",$793.52,$22.11,"$3,076.92",$209.52,$128.64,,
,,2/18/2021 Thu,"$4,519.43",$623.70,$352.10,$25.15,"$2,859.44",,,$113.75,$122.68,$7.99,"-$3,968.91","$2,958.89",69.60%,65.47%,,,,,,,,,,,,,,,2/18/2021 Thu,"$4,519.43",$975.80,$25.15,"$2,859.44",$113.75,$122.68,,
,,2/19/2021 Fri,"$5,739.18",$757.12,$634.40,$34.65,"$3,404.96",,,$251.46,$121.05,$0.00,"-$5,153.55","$4,216.85",65.26%,73.47%,,,,,,,,,,,,,,,2/19/2021 Fri,"$5,739.18","$1,391.52",$34.65,"$3,404.96",$251.46,$121.05,,
,,2/20/2021 Sat,"$4,818.17",$610.29,$179.70,$48.80,"$3,108.47",,,$233.75,$176.19,$18.97,"-$4,377.73","$3,415.17",70.97%,70.88%,,,,,,,,,,,,,,,2/20/2021 Sat,"$4,818.17",$789.99,$48.80,"$3,108.47",$233.75,$176.19,,
,,2/21/2021 Sun,"$5,372.96",$561.93,$356.10,$32.96,"$3,625.09",,,$173.91,$117.05,$12.99,"-$3,866.26","$2,928.95",74.22%,54.51%,358,,,,,,,,,,,,,,2/21/2021 Sun,"$5,372.96",$918.03,$32.96,"$3,625.09",$173.91,$117.05,,
,,2/22/2021 Mon,"$4,183.66",$606.41,$358.70,$36.68,"$2,539.73",,,$139.05,$67.81,$51.47,"-$3,519.17","$2,647.85",66.78%,63.29%,315,,Week 153,"$4,656.67",$696.21,$398.69,$39.18,"$2,822.52",,,$170.83,$80.30,,,2/22/2021 Mon,"$4,183.66",$965.11,$36.68,"$2,539.73",$139.05,$67.81,,
,,2/23/2021 Tue,"$5,124.12",$992.48,$501.10,$33.38,"$2,812.63",,,$198.30,$56.25,$59.95,"-$4,000.69","$3,028.82",60.38%,59.11%,,,,,,,,,,,,,,,2/23/2021 Tue,"$5,124.12","$1,493.58",$33.38,"$2,812.63",$198.30,$56.25,,
,,2/24/2021 Wed,"$4,819.12",$595.04,$295.60,$35.22,"$3,217.05",,,$199.34,$34.82,$0.00,"-$4,015.47","$3,270.51",73.43%,67.87%,,,,,,,,,,,,,,,2/24/2021 Wed,"$4,819.12",$890.64,$35.22,"$3,217.05",$199.34,$34.82,,
,,2/25/2021 Thu,"$5,120.87",$707.35,$523.20,$42.40,"$3,135.01",,,$178.59,$64.50,$0.00,"-$4,460.23","$3,620.72",67.34%,70.71%,,,,,,,,,,,,,,,2/25/2021 Thu,"$5,120.87","$1,230.55",$42.40,"$3,135.01",$178.59,$64.50,,
,,2/26/2021 Fri,"$5,596.09",$767.77,$761.70,$40.64,"$3,251.14",,,$133.17,$128.36,$0.00,"-$5,111.65","$4,042.71",63.91%,72.24%,,,,,,,,,,,,,,,2/26/2021 Fri,"$5,596.09","$1,529.47",$40.64,"$3,251.14",$133.17,$128.36,,
,,2/27/2021 Sat,"$4,151.63",$683.41,$174.30,$64.68,"$2,466.24",,,$230.27,$148.87,$2.99,"-$3,380.91","$2,592.08",65.34%,62.44%,,,,,,,,,,,,,,,2/27/2021 Sat,"$4,151.63",$857.71,$64.68,"$2,466.24",$230.27,$148.87,,
,,2/28/2021 Sun,"$3,601.23",$521.00,$176.20,$21.27,"$2,335.85",,,$117.10,$61.48,$37.97,"-$2,961.67","$2,393.40",71.35%,66.46%,,,,,,,,,,,,,,,2/28/2021 Sun,"$3,601.23",$697.20,$21.27,"$2,335.85",$117.10,$61.48,,
2021년 3월,매출 보고,3/1/2021 Mon,"$4,933.08",$676.95,$465.40,$41.62,"$2,972.22",,,$209.26,$96.07,$18.97,"-$4,052.26","$3,223.45",66.28%,65.34%,,,March,"$5,087.86",$709.14,$459.10,$43.32,"$3,074.74",,,$230.68,$91.56,,,3/1/2021 Mon,"$4,933.08","$1,142.35",$41.62,"$2,972.22",$209.26,$96.07,,
,,3/2/2021 Tue,"$4,335.51",$665.24,$270.70,$52.06,"$2,647.27",,,$191.22,$100.31,$10.98,"-$3,778.98","$2,981.77",67.17%,68.78%,,,,,,,,,,,,,,,3/2/2021 Tue,"$4,335.51",$935.94,$52.06,"$2,647.27",$191.22,$100.31,,
실제 수익,"$162,984.08",3/3/2021 Wed,"$5,246.18",$823.83,$325.00,$28.00,"$3,173.90",,,$298.40,$80.85,$34.98,"-$4,915.87","$3,841.29",66.55%,73.22%,,,,,,,,,,,,,,,3/3/2021 Wed,"$5,246.18","$1,148.83",$28.00,"$3,173.90",$298.40,$80.85,,
보고 수익,"$143,454.17",3/4/2021 Thu,"$5,024.87",$613.77,$429.60,$39.40,"$3,123.50",,,$237.69,$103.96,$15.98,"-$4,460.49","$3,582.45",68.38%,71.29%,,,,,,,,,,,,,,,3/4/2021 Thu,"$5,024.87","$1,043.37",$39.40,"$3,123.50",$237.69,$103.96,,
카드 수익,"$112,578.59",3/5/2021 Fri,"$6,555.69",$946.96,$826.50,$61.62,"$3,755.90",,,$279.69,$83.62,$0.00,"-$5,216.03","$3,762.64",63.02%,57.40%,,,,,,,,,,,,,,,3/5/2021 Fri,"$6,555.69","$1,773.46",$61.62,"$3,755.90",$279.69,$83.62,,
,"$30,875.58",3/6/2021 Sat,"$4,609.55",$660.78,$271.50,$24.67,"$2,829.51",,,$269.26,$123.92,$6.98,"-$4,014.98","$3,222.14",67.52%,69.90%,,,,,,,,,,,,,,,3/6/2021 Sat,"$4,609.55",$932.28,$24.67,"$2,829.51",$269.26,$123.92,,
담배 수익,"$33,977.73",3/7/2021 Sun,"$4,910.11",$576.48,$625.00,$55.90,"$3,020.88",,,$129.25,$52.22,$0.00,"-$4,469.72","$3,433.53",67.68%,69.93%,,,,,,,,,,,,,,,3/7/2021 Sun,"$4,910.11","$1,201.48",$55.90,"$3,020.88",$129.25,$52.22,,
그로서리 수익,"$1,154.14",3/8/2021 Mon,"$3,886.84",$778.03,$88.90,$17.29,"$2,355.33",,,$162.66,$108.09,$19.97,"-$3,446.43","$2,781.59",66.66%,71.56%,,,Week 155,"$4,729.49",$668.24,$389.99,$38.18,"$2,887.61",,,$177.31,$91.35,,,3/8/2021 Mon,"$3,886.84",$866.93,$17.29,"$2,355.33",$162.66,$108.09,,
잡화 수익,"$103,824.71",3/9/2021 Tue,"$4,443.75",$687.99,$506.42,$46.53,"$2,435.09",,,$234.10,$49.09,$76.93,"-$3,893.25","$3,126.59",60.28%,70.36%,,,,,,,,,,,,,,,3/9/2021 Tue,"$4,443.75","$1,194.41",$46.53,"$2,435.09",$234.10,$49.09,,
토바코 수익,"$5,966.40",3/10/2021 Wed,"$3,801.93",$502.98,$333.00,$39.25,"$2,198.44",,,$132.49,$72.04,$174.95,"-$2,772.77","$2,116.56",63.61%,55.67%,,,,,,,,,,,,,,,3/10/2021 Wed,"$3,801.93",$835.98,$39.25,"$2,198.44",$132.49,$72.04,,
맥주 수익,"$2,714.10",3/11/2021 Thu,"$4,723.44",$668.69,$558.60,$24.90,"$2,762.57",,,$202.00,$73.40,$0.00,"-$4,283.04","$3,237.91",64.34%,68.55%,,,,,,,,,,,,,,,3/11/2021 Thu,"$4,723.44","$1,227.29",$24.90,"$2,762.57",$202.00,$73.40,,
,,3/12/2021 Fri,"$5,881.70",$704.65,$660.80,$46.74,"$3,581.20",,,$224.42,$98.44,$25.98,"-$5,248.69","$4,068.63",66.98%,69.17%,,,,,,,,,,,,,,,3/12/2021 Fri,"$5,881.70","$1,365.45",$46.74,"$3,581.20",$224.42,$98.44,,
,"$5,257.55",3/13/2021 Sat,"$6,251.06",$566.81,$445.00,$72.17,"$4,320.04",,,$138.05,$135.55,$0.00,"-$5,480.35","$4,369.50",76.02%,69.90%,,,,,,,,,,,,,,,3/13/2021 Sat,"$6,251.06","$1,011.81",$72.17,"$4,320.04",$138.05,$135.55,,
,,3/14/2021 Sun,"$4,117.72",$768.52,$137.20,$20.35,"$2,560.61",,,$147.45,$102.83,$2.99,"-$3,347.00","$2,561.88",68.40%,62.22%,,,,,,,,,,,,,,,3/14/2021 Sun,"$4,117.72",$905.72,$20.35,"$2,560.61",$147.45,$102.83,,
,,3/15/2021 Mon,"$5,031.09",$598.01,$804.00,$41.00,"$2,908.25",,,$114.22,$92.83,$17.97,"-$4,226.63","$3,471.32",63.59%,69.00%,,,Week 156,"$6,130.16",$642.96,$583.96,$33.09,"$1,433.39","$2,564.96",$446.32,$190.99,$100.75,,,3/15/2021 Mon,"$5,031.09","$1,402.01",$41.00,"$2,908.25",$114.22,$92.83,,
,,3/16/2021 Tue,"$5,550.73",$869.56,$315.90,$43.95,$770.38,"$2,636.41",$150.00,$163.51,$91.88,,"-$4,638.37","$3,537.79",70.49%,63.74%,,,,,,,,,,,,,,,3/16/2021 Tue,"$5,550.73","$1,185.46",$43.95,"$3,556.79",$163.51,$91.88,,
,,3/17/2021 Wed,"$7,792.22",$668.86,$783.00,$28.48,"$1,352.67","$3,193.75",$727.31,$207.73,$115.68,,"-$6,691.23","$5,502.13",74.45%,70.61%,,,,,,,,,,,,,,,3/17/2021 Wed,"$7,792.22","$1,451.86",$28.48,"$5,273.73",$207.73,$115.68,,
,,3/18/2021 Thu,"$5,571.96",$452.55,$437.00,$26.21,"$1,385.24","$1,735.33",$734.70,$176.52,$113.30,,"-$5,131.55","$4,115.40",76.11%,73.86%,,,,,,,,,,,,,,,3/18/2021 Thu,"$5,571.96",$889.55,$26.21,"$3,855.27",$176.52,$113.30,,
,,3/19/2021 Fri,"$6,870.01",$906.74,$725.90,$20.79,$982.10,"$2,661.27",$500.00,$349.65,$93.38,,"-$6,319.49","$4,649.61",66.34%,67.68%,,,,,,,,,,,,,,,3/19/2021 Fri,"$6,870.01","$1,632.64",$20.79,"$4,143.37",$349.65,$93.38,,
,,3/20/2021 Sat,"$5,953.92",$420.33,$669.39,$33.24,"$1,072.58","$2,734.06",$185.95,$176.60,$115.56,,"-$5,623.59","$4,419.96",73.76%,74.24%,,,,,,,,,,,,,,,3/20/2021 Sat,"$5,953.92","$1,089.72",$33.24,"$3,992.59",$176.60,$115.56,,
,,3/21/2021 Sun,"$6,141.19",$584.68,$352.50,$37.94,"$1,562.54","$2,428.93",$379.95,$148.67,$82.61,,"-$6,123.57","$4,745.01",78.30%,77.27%,,,,,,,,,,,,,,,3/21/2021 Sun,"$6,141.19",$937.18,$37.94,"$4,371.42",$148.67,$82.61,,
,,3/22/2021 Mon,"$5,555.51",$841.89,$914.40,$75.75,$628.98,"$1,976.63",$379.88,$145.02,$83.38,,"-$4,894.93","$3,882.11",59.11%,69.88%,,,Week 157,"$5,473.37",$659.03,$380.01,$36.80,$874.27,"$2,263.83",$483.10,$196.80,$77.44,,,3/22/2021 Mon,"$5,555.51","$1,756.29",$75.75,"$2,985.49",$145.02,$83.38,,
,,3/23/2021 Tue,"$4,551.51",$616.93,$56.90,$40.06,"$1,254.83","$1,722.67",$120.24,$244.75,$77.65,,"-$3,783.76","$3,073.21",74.87%,67.52%,,,,,,,,,,,,,,,3/23/2021 Tue,"$4,551.51",$673.83,$40.06,"$3,097.74",$244.75,$77.65,,
,,3/24/2021 Wed,"$5,763.77",$553.71,$148.00,$13.82,$911.60,"$2,565.78",$640.19,$287.84,$114.11,,"-$5,103.16","$4,038.44",78.58%,70.07%,,,,,,,,,,,,,,,3/24/2021 Wed,"$5,763.77",$701.71,$13.82,"$4,117.57",$287.84,$114.11,,
,,3/25/2021 Thu,"$6,455.17",$751.99,$525.80,$41.34,$921.14,"$2,344.76",$950.96,$191.80,$135.21,,"-$5,794.53","$4,827.84",71.86%,74.79%,,,,,,,,,,,,,,,3/25/2021 Thu,"$6,455.17","$1,277.79",$41.34,"$4,216.86",$191.80,$135.21,,
,,3/26/2021 Fri,"$6,086.92",$826.13,$418.40,$35.65,$980.68,"$2,450.91",$668.39,$106.30,$42.11,,"-$6,086.92","$4,628.27",74.09%,76.04%,,,,,,,,,,,,,,,3/26/2021 Fri,"$6,086.92","$1,244.53",$35.65,"$4,099.98",$106.30,$42.11,,
,,3/27/2021 Sat,"$5,401.47",$489.48,$85.40,$32.14,$821.76,"$2,819.92",$387.04,$201.54,$68.58,,"-$4,961.03","$3,871.93",82.04%,71.68%,,,,,,,,,,,,,,,3/27/2021 Sat,"$5,401.47",$574.88,$32.14,"$4,028.72",$201.54,$68.58,,
,,3/28/2021 Sun,"$4,499.22",$533.09,$511.20,$18.86,$600.92,"$1,966.11",$234.97,$200.32,$21.01,,"-$3,537.30","$2,575.60",68.51%,57.25%,,,,,,,,,,,,,,,3/28/2021 Sun,"$4,499.22","$1,044.29",$18.86,"$2,802.00",$200.32,$21.01,,
,,3/29/2021 Mon,"$5,039.80",$669.22,$360.40,$35.81,$718.91,"$2,135.34",$384.40,$169.49,$103.91,,"-$4,599.38","$3,734.95",70.69%,74.11%,,,Week 158,"$5,491.10",$656.41,$438.11,$33.76,"$1,024.70","$2,132.72",$440.37,$179.28,$82.61,,,3/29/2021 Mon,"$5,039.80","$1,029.62",$35.81,"$3,238.65",$169.49,$103.91,,
,,3/30/2021 Tue,"$4,658.35",$633.35,$319.30,$33.13,$824.15,"$1,971.14",$272.80,$117.68,$59.49,,"-$3,887.64","$3,109.56",72.45%,66.75%,,,,,,,,,,,,,,,3/30/2021 Tue,"$4,658.35",$952.65,$33.13,"$3,068.09",$117.68,$59.49,,
,,3/31/2021 Wed,"$3,339.81",$383.12,$165.30,$25.47,$187.44,"$1,653.35",$490.94,$108.82,$23.02,p.w out,"-$2,671.23","$2,085.53",76.80%,62.44%,,,,,,,,,,,,,,,3/31/2021 Wed,"$3,339.81",$548.42,$25.47,"$2,331.73",$108.82,$23.02,,
2021년 4월,매출 보고,4/1/2021 Thu,"$7,707.03",$669.63,$435.10,$37.60,"$2,468.48","$2,234.88",$821.10,$205.48,$127.76,,"-$6,626.66","$5,203.14",78.85%,67.51%,,,,,,,,,,,,,,,4/1/2021 Thu,"$7,707.03","$1,104.73",$37.60,"$5,524.46",$205.48,$127.76,,
,,4/2/2021 Fri,"$6,230.71",$980.97,$667.20,$37.42,$817.03,"$2,380.32",$424.67,$238.58,$112.99,,"-$5,570.10","$4,383.14",63.94%,70.35%,,,,,,,,,,,,,,,4/2/2021 Fri,"$6,230.71","$1,648.17",$37.42,"$3,622.02",$238.58,$112.99,,
실제 수익,"$165,619.04",4/3/2021 Sat,"$6,237.41",$695.63,$422.30,$27.55,"$1,274.55","$2,525.76",$409.95,$228.11,$81.43,,"-$5,576.80","$4,751.90",74.25%,76.18%,,,,,,,,,,,,,,,4/3/2021 Sat,"$6,237.41","$1,117.93",$27.55,"$4,210.26",$228.11,$81.43,,
보고 수익,"$143,481.61",4/4/2021 Sun,"$5,224.58",$562.96,$697.20,$39.34,$882.32,"$2,028.28",$278.73,$186.83,$69.66,,"-$4,880.09","$3,745.38",67.15%,71.69%,,,,,,,,,,,,,,,4/4/2021 Sun,"$5,224.58","$1,260.16",$39.34,"$3,189.33",$186.83,$69.66,,
카드 수익,"$114,613.31",4/5/2021 Mon,"$5,227.45",$577.44,$597.00,$20.91,$549.38,"$2,660.35",$131.96,$121.11,$89.82,,"-$4,087.68","$2,972.50",70.32%,56.86%,,,Week 159,"$5,620.70",$717.85,$437.00,$32.66,$769.55,"$2,354.18",$453.75,$221.94,$118.97,,,4/5/2021 Mon,"$5,227.45","$1,174.44",$20.91,"$3,341.69",$121.11,$89.82,,
,"$28,868.30",4/6/2021 Tue,"$5,019.47",$752.02,$290.60,$34.78,$402.94,"$2,405.04",$379.32,$188.11,$106.21,,"-$4,468.94","$3,741.13",69.85%,74.53%,,,,,,,,,,,,,,,4/6/2021 Tue,"$5,019.47","$1,042.62",$34.78,"$3,187.30",$188.11,$106.21,,
담배 수익,"$34,165.47",4/7/2021 Wed,"$4,635.51",$547.54,$231.20,$35.16,$858.14,"$1,807.85",$472.69,$140.46,$117.24,,"-$4,066.07","$3,230.11",74.48%,69.68%,,,,,,,,,,,,,,,4/7/2021 Wed,"$4,635.51",$778.74,$35.16,"$3,138.68",$140.46,$117.24,,
그로서리 수익,"$1,244.11",4/8/2021 Thu,"$5,862.37",$830.20,$350.50,$37.11,$983.75,"$2,300.76",$374.42,$312.11,$135.79,,"-$5,223.71","$4,244.26",68.66%,72.40%,,,,,,,,,,,,,,,4/8/2021 Thu,"$5,862.37","$1,180.70",$37.11,"$3,658.93",$312.11,$135.79,,
잡화 수익,"$104,586.08",4/9/2021 Fri,"$8,052.16",$904.27,$779.60,$38.37,"$1,126.71","$2,693.37","$1,251.91",$372.99,$151.83,,"-$6,926.73","$5,429.52",69.29%,67.43%,,,,,,,,,,,,,,,4/9/2021 Fri,"$8,052.16","$1,683.87",$38.37,"$5,071.99",$372.99,$151.83,,
토바코 수익,"$6,168.86",4/10/2021 Sat,"$5,844.09",$698.80,$719.30,$30.24,$834.69,"$2,247.38",$333.96,$290.60,$153.03,,"-$5,128.44","$4,273.65",64.30%,73.13%,,,,,,,,,,,,,,,4/10/2021 Sat,"$5,844.09","$1,418.10",$30.24,"$3,416.03",$290.60,$153.03,,
맥주 수익,"$3,043.43",4/11/2021 Sun,"$4,703.83",$714.71,$90.80,$32.07,$631.24,"$2,364.50",$231.99,$128.18,$78.88,,"-$4,043.27","$3,226.68",75.48%,68.60%,,,,,,,,,,,,,,,4/11/2021 Sun,"$4,703.83",$805.51,$32.07,"$3,227.73",$128.18,$78.88,,
,,4/12/2021 Mon,"$5,182.23",$682.22,$345.10,$27.88,$487.26,"$1,728.98",$232.95,$146.44,$106.01,,"-$4,136.26","$3,229.88",51.99%,62.33%,,,Week 160,"$5,405.67",$675.55,$481.39,$43.48,$746.55,"$2,152.39",$330.69,$209.44,$94.02,,,4/12/2021 Mon,"$5,182.23","$1,027.32",$27.88,"$2,449.19",$146.44,$106.01,,
,"$5,520.63",4/13/2021 Tue,"$4,018.91",$683.58,$263.20,$39.60,$293.76,"$2,049.11",$76.89,$220.19,$23.91,,"-$3,468.40","$2,784.14",66.23%,69.28%,,,,,,,,,,,,,,,4/13/2021 Tue,"$4,018.91",$946.78,$39.60,"$2,419.76",$220.19,$23.91,,
,,4/14/2021 Wed,"$5,500.95",$659.43,$358.80,$57.92,"$1,084.11","$1,951.18",$593.30,$162.61,$129.04,,"-$4,620.18","$3,658.51",72.56%,66.51%,,,,,,,,,,,,,,,4/14/2021 Wed,"$5,500.95","$1,018.23",$57.92,"$3,628.59",$162.61,$129.04,,
,,4/15/2021 Thu,"$6,236.96",$544.84,$518.00,$70.47,"$1,383.98","$2,654.34",$289.95,$147.13,$56.10,,"-$5,160.22","$4,066.99",76.34%,65.21%,,,,,,,,,,,,,,,4/15/2021 Thu,"$6,236.96","$1,062.84",$70.47,"$4,328.27",$147.13,$56.10,,
,,4/16/2021 Fri,"$5,553.32",$702.38,$514.90,$22.70,$457.94,"$2,709.33",$230.96,$283.88,$121.76,,"-$4,631.11","$3,694.38",67.31%,66.53%,,,,,,,,,,,,,,,4/16/2021 Fri,"$5,553.32","$1,217.28",$22.70,"$3,398.23",$283.88,$121.76,,
,,4/17/2021 Sat,"$6,560.05",$857.76,$493.90,$37.96,$814.61,"$2,621.68",$649.38,$362.41,$120.60,,"-$5,690.25","$4,498.59",68.51%,68.58%,,,,,,,,,,,,,,,4/17/2021 Sat,"$6,560.05","$1,351.66",$37.96,"$4,085.67",$362.41,$120.60,,
